id,name,description,tweets,follow,stance,remark,followed_tweet,predict,followed_user_stance
856559934967869441,Ajit Bhaskar,#VashishtBrahmin #Hindu #Hindutva n #Hinduism #BharatIsHindu!,"[""@konarksangal @SharadBishnoi05 @MonicaK2511 @sdjoshi55 @ranik54 @JoeBiden does that.\nThat'll be the #DAY:\nThe World's problems automatically come to an end.\nAny timeline?"", '#Breaking\n @POTUS @JoeBiden warns: @KremlinRussia_E 4 d umpteenth time.\nReminds:\n""Sher aaya,Sher aaya n Sher aaya""!\nN ""no"" #Sher came.\nN Joe,too,got tired n 4got-oops! Went 2 sleep.\nN d ""mighty"" #RussianSher did really turn up n swallowed #Ukraine\nMoral:\nDont mess wid #Putin!']",['1588276453'],none,none,"[{'1588276453': {'1': [], '2': [""RT @renjitshetti4: @JoeBiden @KamalaHarris @UN @IRF_Ambassador journalist like @RanaAyyub won't tell you how Muslims are on a rape &amp; killin…""], '3': []}}]",against,['none']
1353711003628920832,HealthCareInsider,"Data-Driven 📈 on all things Healthcare.

https://t.co/70fh7pnCEf is owned and operated by HealthCare, Inc.","['SURVEY FINDS: 62% of #Democrats somewhat or strongly oppose striking down the #AffordableCareAct, compared to 15% of #Republicans.\n\n34% of Republicans don’t plan to get a #COVID19 #vaccine, compared to 10% of Dems.\n\nhttps://t.co/S8hf5XSnlc\n\n#ACA #Obamacare #Bidencare #healthcare']",['376403603'],favor,none,"[{'376403603': {'1': [""RT @eliza_relman: IT'S OVER: Biden defeats Trump as US voters take the rare step to remove an incumbent president, @DecisionDeskHQ and Insi…""], '2': [], '3': []}}]",none,['favor']
561339107,Joey Humphries,"Research Scientist @firmmsoftware, Biomedical Engineer by training. Big fan of sleep.",['RT @simone__kern: So many people casting a vote for planetary suicide. Biden gets an F on climate change. He’s millions in debt to fossil f…'],['956674177033015296'],none,none,"[{'956674177033015296': {'1': ['@RealLyndaCarter @JoeBiden @KamalaHarris This is awesome!'], '2': [], '3': []}}]",against,['favor']
16062453,Jared Calvert,Caffeinated Civil Rights Lawyer.  Tweeting into the void about what the Shrek just happened.,"['Joe Biden screwed up Ukriane so much, the Republicans stood up for 10 minutes straight applauding his actions.', '@ComfortablySmug The last guy (Trump) literally attempted to extort with defense aid the current president of Ukraine to give him dirt on Hunter Biden. You can’t honestly think this would have played out any differently with Trump or a Republican President.']",['105224782'],none,none,"[{'105224782': {'1': [], '2': ['RT @AP: The #APracecall declaring Joe Biden’s win over President Trump came after @AP called Pennsylvania and its 20 electoral votes for Bi…'], '3': []}}]",favor,['favor']
1278862379263148032,Yvette,,['RT @OccupyDemocrats: BREAKING NEWS: Trump’s Steve Bannon says that Americans should be supporting Russia instead of President Biden. RT IF…'],"['4763858353', '1104480552323899399', '80361644']",against,none,"[{'4763858353': {'1': [""RT @WaitingOnBiden: Biden tricked voters with promises of student debt cancellation. Now he's fighting to block the courts from giving reli…"", 'RT @312shelly3: @brianstelter @CNN covered up #TaraReade’s many contemporaneous corroborations that #JoeBiden raped her &amp; retaliated agains…'], '2': ['RT @BreeNewsome: If Democrats are worried about Biden looking weak, this is the kind of thing that actually makes him look weak because eve…', 'RT @latstetter: Imagine if @joebiden used the same amount of energy to get Americans #MedicareForAll as he does for #BombsForAllRussia Amer…', ""Remember when people voted for Joe Biden to help fight climate change? A lot of us weren't fooled because he is such a friend to the military industrial complex-the world's largest polluter. How can all these weapons and bombs we are sending Ukraine save our planet?""], '3': ['RT @The_Acumen: Biden and Democrats getting the war with Russia they been begging for and trying to start since 2016. What’s wild is Ukrain…']}, '1104480552323899399': {'1': ["".@ThomsonReuters is defending its work for ICE ahead of a shareholder vote next week.\n \nWhether it's under Biden or Trump, those who facilitate deportations &amp; the terrorization of immigrant communities are complicit.\n \nThomson Reuters must cut its contracts. #NoTechforICE https://t.co/5eiUiUFVcN""], '2': ['Both Republicans &amp; Democrats blast #facialrecognition\'s threat to civil rights, so where\'s the ban?!\n\u200b\n\u200b""We can’t wait for Congress to act, so we are calling on President Biden to issue a moratorium on federal facial recognition.” @FoxCahn @Cat_Zakrzewski\xa0 https://t.co/rB777nXJcM'], '3': []}, '80361644': {'1': [], '2': ['RT @K_JeanPierre: I am profoundly honored to be the Principal Deputy Press Secretary for @JoeBiden. I am especially thrilled to work alongs…'], '3': [""RT @NPR: JUST IN: President-elect Joe Biden has officially been certified the winner of Georgia's 16 electoral votes following a statewide…""]}}]",favor,"['against', 'none', 'favor']"
189009947,Kristen 🇺🇸,RTs do not equal endorsements,['RT @laurenboebert: Democrats: Donald Trump’s attacks on the press are an attack on the First Amendment.\n\nJoe Biden to Peter Doocy: “What a…'],['369788077'],favor,none,"[{'369788077': {'1': ['RT @kaitlancollins: No vote tonight as President Biden has returned to the White House residence for the evening.'], '2': [], '3': []}}]",none,['favor']
1462866467674894337,Deborah Brown,,['RT @OccupyDemocrats: BREAKING: Biden Spokeswoman Jen Psaki blasts Lauren Boebert &amp; Marjorie Taylor Greene for heckling the President during…'],"['4303298356', '210921551', '138516405', '43300047']",against,none,"[{'4303298356': {'1': [""I don't understand. I thought Biden and democrats were fighting the racist right-wing? Oh I forget, Biden &amp; democrats are the racist imperialist right-wing. https://t.co/Ncckubv2bJ"", ""Oh some didn't know that the U.S. settler state is not white supremacist. White supremacy is reflected in the clownish behavior of Trump &amp; the white militias. Biden &amp; the neoliberal democrats are friends of Black people &amp; the people of the global South &amp; are anti-racist! Lol."", ""Do you think it might be a little dangerous &amp; even irresponsible implying that 75 million people who voted for Trump are Nazis? That seems to be the new line from right-wing neoliberal media even as they say the people shouldn't worry because Biden will bring people together!""], '2': ['If democrats can support Trump determining that Juan Guiado is real president of Venezuela what is basis of their opposition to Trump if he sets up parallel presidency to Biden?', 'Commonsense politics &amp; morality but a historical moment when people are gripped with war fever. Biden &amp; democrats pulled a slick one. Suffering in the polls &amp; unable to deliver anything to working class &amp; poor, the old wag the dog war stunt became their move. https://t.co/S4Uq44uHrQ', 'Biden &amp; democrats have moved toward achieving the bipartisan consensus they promised. In his State of the Union speech two items got the most bipartisan reaction, war abroad &amp; war domestically in the form of reversing any sentiment toward defunding the police.', 'Are the democrats creating a situation in which Biden is forced to issue a pardon to Trump in order to expedite getting his appointees in place and moving his legislative agenda forward?', ""Biden and democrats say $15 is out. What you gonna do? Nothing. And you wonder why corporate democrats don't take you seriously."", ""Is this true? Are the democrats continuing the war crimes of the Trump administration in Syria? But wait... wasn't it Obama/Biden that initiated the illegal war on Syria? But if Obama started it, it had to be justified because democrats uphold law &amp; democracy. https://t.co/JdOBOl3QNn"", 'When will democrats stand up for workers? The Biden wing of the democrat party is interested in building unity among the ruling class above anything else. Raising the wages of workers is not part of that agenda.'], '3': []}, '210921551': {'1': ['My cousins need they stimmy check @joebiden I can’t continue to front them or im@gonna need a stimmy check myself! #justakidfromcompton https://t.co/85IW5t4cEk'], '2': [], '3': []}, '138516405': {'1': [], '2': ['RT @MadameNoire: ‘Don’t Start Talking Like A Republican’: Kamala Harris Had To Read Charlamagne Tha God In Defense Of Joe Biden \nhttps://t.…', '‘Don’t Start Talking Like A Republican’: Kamala Harris Had To Read Charlamagne Tha God In Defense Of Joe Biden \nhttps://t.co/GGHM3JDWGg https://t.co/aPUYAmzr6p'], '3': []}, '43300047': {'1': [], '2': ['RT @jonfavs: Today Joe Biden signs into law a federal holiday that Republicans are trying to prevent our kids from learning about in school.', 'RT @RBReich: Biden is relying on rhetoric to defend voting rights while Republicans in state capitals are eliminating them. For now, no con…', 'RT @NOW_NYC: Healthcare is not a privilege but a right: ""Everyone should have the right to have affordable healthcare."" - @JoeBiden #Debate…'], '3': []}}]",none,"['against', 'favor', 'none', 'favor']"
1480188250304176129,RocknRollJoe,"Singer/Songwriter for Flicknife Records UK.#BernieSanders2024  100% disabled Vet,,","[""@michaelwhitney Until Obama stepped in and told all the others to drop out and get behind Biden. That's exactly what happened Obama rigged it for the corporate centerist Biden. His campaign promises were nothing but BS. He sounded like Sanders to get his voters. Biden's just a liar""]",['20479813'],against,none,"[{'20479813': {'1': ['Yes! Republicans! Keep calling for more recounts and election audits! At this rate we’ll soon learn Biden won Indiana, Idaho and one of the Dakotas. https://t.co/UZzjXzOv25', ""RT @ezralevin: Biden: Let's vote for BBB and BIF!\nPelosi: Let's vote for BBB and BIF!\nProgressives: Let's vote for BBB and BIF!\n6 Conservat…"", 'RT @StephenAtHome: Happy birthday, @JoeBiden! Today you may be 78, but in two months, you’ll be 46.'], '2': ['My Weekly Letter reveals the 3 big lies of the month: Biden’s approval rating is NOT in the tank; the vast MAJORITY of voters back his agenda; and covid-caused inflation has nothing to do w/Biden! Pundits are in a stupid lather spreading falsehoods &amp; fear.https://t.co/jx9v4IBAeh?', 'So great to hear Biden rip into the 126 members of Congress &amp; the 17 States’ Attorneys General who tried to get the Supreme Court to overturn the election &amp; the will of the American people. It was an act of sedition. These Republicans detest democracy &amp; the law. Onward! GEORGIA!', 'LIVE NOW - the Michigan State Board of Canvassers - 2 Republicans, 2 Democrats - is debating as to whether or not to certify the Michigan victory won by Joe Biden. The 2 Republicans both refused just now to even 2nd a motion. Watch live on C-SPAN or here: https://t.co/nPi0pXhGKp', 'Michigan gives Trump the boot! Just two hours after the Michigan Board of Canvassers certified Biden as the winner - by just one vote from this frightened Republican - Trump threw in a small towel and approved the beginning of the transfer of power to Biden.  Order the U-Hauls! https://t.co/Ny6GIViYZj', 'TODAY! Open the address book in your phone. Each name in there is one more vote closer to ending Trump! Take an hour to call, text or email them. Ask them to join you in voting for Biden &amp; removing Trump. If you convince just one non-voter to vote, you’ve DOUBLED your vote!\xa0BOOM!', 'We can’t just “beat” Trump. He needs to be hit with a TSUNAMI of Biden Ballots — a vote so massive, so obliterating, it crushes him &amp; his Republican enablers from sea to shining sea! Let’s all make yard &amp; window signs this weekend! Homemade is the best! Family project! Send pix! https://t.co/O1wGr3wmoj'], '3': ['I voted for Joe Biden, not Joe Manchin. 2 more years of the wrong Joe calling the shots? No. Not acceptable. 76% of Americans wanted this bill passed - WITH the minimum wage increase. So that got tossed. And 8 Dem senators voted w/ Republicans to kill the minimum wage. Shameful.']}}]",favor,['favor']
1300204957136809984,StopWokeCulture,"GenX, Independent, don’t put up with 🤡’s, Vet, Sometimes type “your” when I mean “you’re” #WalkAway. Biden is the WORST President. On Gettr: @StopWokeCulture","['Interesting thread. \n\nI think the polls showing a lack of interest in Russia/Ukraine won’t stop the Democrats.  \n\nJust remember, when whatever this is is done, Biden did his part to provoke it. https://t.co/mUDfI0Tyjd', '“Have a margarita…The path forward is we have to keep fighting.”\n\n~ Jen Psaki\n\nCan’t wait until 2024 Election Day, when we vote the racist, bigoted, incompetent Biden out of office. 👍🏽']",['762024240'],against,none,"[{'762024240': {'1': ['@JoeBiden Today is #internationalwomensday for all those women who are still complaining about men and everything else.   \n\nI guess women can’t be CEOs or run whole departments, right?   It has to be all men’s fault!  Empower women by bashing men. Lord knows this bitchfest will never end.'], '2': ['Republicans carrying out Biden’s dead BUILD BACK BETTER PLAN https://t.co/3i8K2M0C4r'], '3': ['#Biden @pdoocy #russia #putin #BidenIsALaughingstock #DonaldTrump #China https://t.co/ePPaTNHpc9']}}]",favor,['none']
45810928,"ÁGORA, Ph.D.","Cancer Research/Author/Editor/UMSNH/UNT/Noble Fndn/Zürich University/DKFZ/LindauForLife/Trained PhDs & Postdocs of 🇲🇽,🇺🇸,🇨🇭,🇩🇪,🇰🇷,🇮🇹,🇮🇳,🇨🇦,🇵🇷",['RT @JoeBiden: 17 Nobel Prize winners in economics say the Build Back Better Agenda will ease longer-term inflationary pressures.\n\nWe can ge…'],['18569484'],none,none,"[{'18569484': {'1': ['@RenierM @PrezJoeBiden46 @jlwolcott @davenewworld_2 Better yet, the conclusion: \n\n“The aliens possess such weapons &amp; technology that go beyond all our assumptions. They can stand up for themselves if attacked.” \n\nSurprise! The super advanced aliens in their spaceships were able to defend themselves against the local natives.', '@RenierM @PrezJoeBiden46 @jlwolcott @davenewworld_2 You aren’t talking about “the authoritative magazine Canadian Weekly World News”? 🤣\n\nThis “declassified” document is just a reprint of a Russian news article referencing the Weekly World News. Lol'], '2': ['@Dolphin2Times @ChrisDJackson @DevinCow @POTUS @JoeBiden Have you been feeling gaslit about promises the past 12 months?  Or 48 months? Or only in the few weeks since the inauguration?'], '3': []}}]",favor,['none']
